
Host: QUADRAXIS

Timers On : Tue Apr 13 15:41:17 2021
Timers Off: Tue Apr 13 15:46:54 2021

Wall Time:      336.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     81.017u      3.767s      8.740w     10 calls
Libint2ERI::Libint2ERI              :     25.817u      2.150s      5.837w    190 calls
HF: Form core H                     :     14.200u      1.233s      0.893w      5 calls
HF: Form S/X                        :      3.050u      0.283s      0.175w      5 calls
HF: Guess                           :      0.817u      0.067s      0.046w      5 calls
HF: Form G                          :      8.933u      0.467s      0.487w     58 calls
JK: D                               :      0.017u      0.000s      0.002w     63 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     63 calls
JK: JK                              :      8.083u      0.433s      0.465w     63 calls
PK computes JK                      :      8.083u      0.433s      0.465w     63 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      3.733u      0.217s      0.195w     58 calls
HF: DIIS                            :     13.850u      0.883s      0.775w     58 calls
DIISManager::add_entry              :      1.783u      0.133s      0.107w     58 calls
DIISManager::extrapolate            :      1.833u      0.067s      0.107w     58 calls
bMatrix setup                       :      1.367u      0.050s      0.079w     58 calls
bMatrix pseudoinverse               :      0.150u      0.017s      0.009w     58 calls
New vector                          :      0.283u      0.000s      0.018w     58 calls
HF: Form C                          :      8.950u      0.500s      0.490w     58 calls
HF: Form D                          :      0.067u      0.000s      0.004w     58 calls
CIWave: CIvect write                :      0.733u      0.217s      0.127w    270 calls
CIWave: CIvect read                 :      1.733u      0.433s      0.251w   1355 calls
CIWave: s2                          :    332.133u      0.800s    184.754w    385 calls
CIWave: s3                          :    150.250u      1.267s     72.418w    630 calls
CIWave: s3_mt                       :     91.833u      0.733s     44.289w  29960 calls
CIWave: s1                          :      0.283u      0.017s      0.028w    315 calls
CIWave: opdm                        :      5.667u      0.183s      0.788w      5 calls
V: Grid                             :      1.683u      0.050s      0.093w      5 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     81.017u      3.767s      8.740w     10 calls
| Libint2ERI::Libint2ERI            :     12.450u      1.050s      3.917w    130 calls
HF: Form core H                     :     14.200u      1.233s      0.893w      5 calls
HF: Form S/X                        :      3.050u      0.283s      0.175w      5 calls
HF: Guess                           :      0.817u      0.067s      0.046w      5 calls
HF: Form G                          :      8.933u      0.467s      0.487w     58 calls
| JK: D                             :      0.017u      0.000s      0.002w     58 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     58 calls
| JK: JK                            :      8.050u      0.433s      0.441w     58 calls
| | PK computes JK                  :      8.050u      0.433s      0.441w     58 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     58 calls
HF: Form F                          :      3.733u      0.217s      0.195w     58 calls
HF: DIIS                            :     13.850u      0.883s      0.775w     58 calls
| DIISManager::add_entry            :      1.783u      0.133s      0.107w     58 calls
| DIISManager::extrapolate          :      1.833u      0.067s      0.107w     58 calls
| | bMatrix setup                   :      1.367u      0.050s      0.079w     58 calls
| | bMatrix pseudoinverse           :      0.150u      0.017s      0.009w     58 calls
| | New vector                      :      0.283u      0.000s      0.018w     58 calls
HF: Form C                          :      8.950u      0.500s      0.490w     58 calls
HF: Form D                          :      0.067u      0.000s      0.004w     58 calls
Libint2ERI::Libint2ERI              :     13.367u      1.100s      1.920w     60 calls
CIWave: CIvect write                :      0.733u      0.217s      0.127w    270 calls
CIWave: CIvect read                 :      1.717u      0.433s      0.249w   1345 calls
CIWave: s2                          :    332.133u      0.800s    184.754w    385 calls
CIWave: s3                          :    150.250u      1.267s     72.418w    630 calls
| CIWave: s3_mt                     :     91.833u      0.733s     44.289w  29960 calls
CIWave: s1                          :      0.283u      0.017s      0.028w    315 calls
CIWave: opdm                        :      5.667u      0.183s      0.788w      5 calls
| CIWave: CIvect read               :      0.017u      0.000s      0.002w     10 calls
JK: D                               :      0.000u      0.000s      0.000w      5 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      5 calls
JK: JK                              :      0.033u      0.000s      0.024w      5 calls
| PK computes JK                    :      0.033u      0.000s      0.024w      5 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      5 calls
V: Grid                             :      1.683u      0.050s      0.093w      5 calls

**************************************************************************************

Host: QUADRAXIS

Timers On : Tue Apr 13 15:47:46 2021
Timers Off: Tue Apr 13 15:53:25 2021

Wall Time:      339.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     78.383u      3.267s      8.288w     10 calls
Libint2ERI::Libint2ERI              :     26.283u      2.500s      5.732w    190 calls
HF: Form core H                     :     16.183u      1.167s      1.015w      5 calls
HF: Form S/X                        :      1.017u      0.050s      0.057w      5 calls
HF: Guess                           :      1.033u      0.033s      0.057w      5 calls
HF: Form G                          :      8.850u      0.417s      0.489w     58 calls
JK: D                               :      0.067u      0.000s      0.002w     63 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     63 calls
JK: JK                              :      7.833u      0.367s      0.458w     63 calls
PK computes JK                      :      7.833u      0.367s      0.457w     63 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     63 calls
HF: Form F                          :      3.900u      0.217s      0.208w     58 calls
HF: DIIS                            :     11.267u      0.667s      0.625w     58 calls
DIISManager::add_entry              :      1.400u      0.067s      0.083w     58 calls
DIISManager::extrapolate            :      1.167u      0.033s      0.070w     58 calls
bMatrix setup                       :      0.817u      0.033s      0.051w     58 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.008w     58 calls
New vector                          :      0.217u      0.000s      0.010w     58 calls
HF: Form C                          :      7.217u      0.533s      0.396w     58 calls
HF: Form D                          :      0.033u      0.017s      0.004w     58 calls
CIWave: CIvect write                :      0.800u      0.150s      0.121w    270 calls
CIWave: CIvect read                 :      1.567u      0.367s      0.237w   1355 calls
CIWave: s2                          :    332.033u      0.733s    186.290w    385 calls
CIWave: s3                          :    156.367u      1.250s     74.531w    630 calls
CIWave: s3_mt                       :     92.750u      0.700s     44.716w  29960 calls
CIWave: s1                          :      0.200u      0.000s      0.027w    315 calls
CIWave: opdm                        :      5.217u      0.217s      0.760w      5 calls
V: Grid                             :      1.417u      0.067s      0.082w      5 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     78.383u      3.267s      8.288w     10 calls
| Libint2ERI::Libint2ERI            :     12.050u      1.383s      3.735w    130 calls
HF: Form core H                     :     16.183u      1.167s      1.015w      5 calls
HF: Form S/X                        :      1.017u      0.050s      0.057w      5 calls
HF: Guess                           :      1.033u      0.033s      0.057w      5 calls
HF: Form G                          :      8.850u      0.417s      0.489w     58 calls
| JK: D                             :      0.067u      0.000s      0.002w     58 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     58 calls
| JK: JK                            :      7.817u      0.367s      0.436w     58 calls
| | PK computes JK                  :      7.817u      0.367s      0.436w     58 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     58 calls
HF: Form F                          :      3.900u      0.217s      0.208w     58 calls
HF: DIIS                            :     11.267u      0.667s      0.625w     58 calls
| DIISManager::add_entry            :      1.400u      0.067s      0.083w     58 calls
| DIISManager::extrapolate          :      1.167u      0.033s      0.070w     58 calls
| | bMatrix setup                   :      0.817u      0.033s      0.051w     58 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.008w     58 calls
